Date,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2018-03-11,26924.36,1338.53,7520.53,0,18065.3,1900.73,16164.57,0,organic,2018,Portland
2018-02-04,512982.73,80027.98,212174.53,6000.36,214779.86,82603.57,131899.62,276.67,conventional,2018,LasVegas
2018-03-18,3154.45,275.89,297.96,0,2580.6,2577.27,3.33,0,organic,2018,Albany
2018-03-04,935934.1,454269.43,164856.57,9907.85,306900.25,164965.35,138399.68,3535.22,conventional,2018,WestTexNewMexico
2018-02-04,1706251.05,459981.14,1113987.54,2886.78,129395.59,126171.02,282.38,2942.19,conventional,2018,SanFrancisco
2018-03-04,988572.63,102687.68,619501.22,5269.13,261114.6,256822.62,4225.31,66.67,conventional,2018,BaltimoreWashington
2018-01-14,19434.36,610.29,5917.68,0,12906.39,4369.52,8536.87,0,organic,2018,CincinnatiDayton
2018-02-25,589559.59,199926,308881.68,1158.23,79593.68,72189.31,1982.31,5422.06,conventional,2018,Sacramento
2018-02-11,24385.65,5208.72,60.53,0,19116.4,19029.73,86.67,0,organic,2018,Houston
2018-02-18,495083.69,107369.04,329956.5,956.38,56801.77,55583.56,1218.21,0,organic,2018,NewYork
2018-01-21,24032.87,4244.71,360.17,0,19427.99,17607.8,1820.19,0,organic,2018,DallasFtWorth
2018-01-28,247893.13,68666.93,79639.9,4802.79,94783.51,89456.12,5327.39,0,conventional,2018,Charlotte
2018-02-18,7566.17,4314.3,251.85,0,3000.02,3000.02,0,0,organic,2018,Albany
2018-03-18,17815.44,791.32,428.09,6.63,16589.4,16589.4,0,0,organic,2018,HarrisburgScranton
2018-02-04,4124.96,118.38,420.36,0,3586.22,3586.22,0,0,organic,2018,Albany
2018-02-11,611269.34,130162.76,320845.9,213.8,160046.88,136379.5,22296.32,1371.06,conventional,2018,Philadelphia
2018-02-04,408921.57,4371.02,193222.08,143538.35,67790.12,22315.79,1765.51,43708.82,conventional,2018,GrandRapids
2018-02-25,25590.99,5721.05,68.95,0,19800.99,19544.33,256.66,0,organic,2018,Houston
2018-02-18,7658.93,5.81,858.31,0,6794.81,6794.81,0,0,organic,2018,GrandRapids
2018-03-04,43300.77,2360.2,6371.68,93.52,34475.37,34475.37,0,0,organic,2018,BaltimoreWashington
